C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject14/agent.py
2021-05-13 14:01:20.335147: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-13 14:01:20.336566: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-13 14:01:30.312659: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-13 14:01:30.321114: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-13 14:01:30.321863: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-13 14:01:30.343857: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-13 14:01:30.344572: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-13 14:01:30.349420: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-13 14:01:30.351911: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 2600 : 73, epsilon: 0.0, 보상 합:74
에피소드 2700 : 44, epsilon: 0.0, 보상 합:45
에피소드 2800 : 55, epsilon: 0.0, 보상 합:56
에피소드 2900 : 44, epsilon: 0.0, 보상 합:45
에피소드 3000 : 44, epsilon: 0.0, 보상 합:45
에피소드 3100 : 57, epsilon: 0.0, 보상 합:58
에피소드 3200 : 61, epsilon: 0.0, 보상 합:62
에피소드 3300 : 82, epsilon: 0.0, 보상 합:83
에피소드 3400 : 58, epsilon: 0.0, 보상 합:59
에피소드 3500 : 61, epsilon: 0.0, 보상 합:62
에피소드 3600 : 73, epsilon: 0.0, 보상 합:74
에피소드 3700 : 53, epsilon: 0.0, 보상 합:54
에피소드 3800 : 54, epsilon: 0.0, 보상 합:55
에피소드 3900 : 107, epsilon: 0.0, 보상 합:108
에피소드 4000 : 64, epsilon: 0.0, 보상 합:65
에피소드 4100 : 62, epsilon: 0.0, 보상 합:63
에피소드 4200 : 59, epsilon: 0.0, 보상 합:60
에피소드 4300 : 64, epsilon: 0.0, 보상 합:65
에피소드 4400 : 64, epsilon: 0.0, 보상 합:65
에피소드 4500 : 207, epsilon: 0.0, 보상 합:208
에피소드 4600 : 58, epsilon: 0.0, 보상 합:59
에피소드 4700 : 59, epsilon: 0.0, 보상 합:60
에피소드 4800 : 64, epsilon: 0.0, 보상 합:65
에피소드 4900 : 64, epsilon: 0.0, 보상 합:65
에피소드 5000 : 244, epsilon: 0.0, 보상 합:245
에피소드 5100 : 60, epsilon: 0.0, 보상 합:61
에피소드 5200 : 60, epsilon: 0.0, 보상 합:61
에피소드 5300 : 122, epsilon: 0.0, 보상 합:123
에피소드 5400 : 64, epsilon: 0.0, 보상 합:65
에피소드 5500 : 59, epsilon: 0.0, 보상 합:60
에피소드 5600 : 61, epsilon: 0.0, 보상 합:62
에피소드 5700 : 85, epsilon: 0.0, 보상 합:86
에피소드 5800 : 64, epsilon: 0.0, 보상 합:65
에피소드 5900 : 60, epsilon: 0.0, 보상 합:61
에피소드 6000 : 88, epsilon: 0.0, 보상 합:89
에피소드 6100 : 60, epsilon: 0.0, 보상 합:61
에피소드 6200 : 70, epsilon: 0.0, 보상 합:71
에피소드 6300 : 140, epsilon: 0.0, 보상 합:141
에피소드 6400 : 150, epsilon: 0.0, 보상 합:151
에피소드 6500 : 64, epsilon: 0.0, 보상 합:65
에피소드 6600 : 70, epsilon: 0.0, 보상 합:71
에피소드 6700 : 107, epsilon: 0.0, 보상 합:108
에피소드 6800 : 66, epsilon: 0.0, 보상 합:67
에피소드 6900 : 68, epsilon: 0.0, 보상 합:69
에피소드 7000 : 64, epsilon: 0.0, 보상 합:65
에피소드 7100 : 64, epsilon: 0.0, 보상 합:65
에피소드 7200 : 66, epsilon: 0.0, 보상 합:67
에피소드 7300 : 64, epsilon: 0.0, 보상 합:65
에피소드 7400 : 67, epsilon: 0.0, 보상 합:68
에피소드 7500 : 64, epsilon: 0.0, 보상 합:65
에피소드 7600 : 272, epsilon: 0.0, 보상 합:273
에피소드 7700 : 71, epsilon: 0.0, 보상 합:72
에피소드 7800 : 70, epsilon: 0.0, 보상 합:71
에피소드 7900 : 115, epsilon: 0.0, 보상 합:116
에피소드 8000 : 64, epsilon: 0.0, 보상 합:65
에피소드 8100 : 71, epsilon: 0.0, 보상 합:72
에피소드 8200 : 64, epsilon: 0.0, 보상 합:65
에피소드 8300 : 72, epsilon: 0.0, 보상 합:73
에피소드 8400 : 225, epsilon: 0.0, 보상 합:226
에피소드 8500 : 124, epsilon: 0.0, 보상 합:125
에피소드 8600 : 98, epsilon: 0.0, 보상 합:99
에피소드 8700 : 64, epsilon: 0.0, 보상 합:65
에피소드 8800 : 69, epsilon: 0.0, 보상 합:70
에피소드 8900 : 65, epsilon: 0.0, 보상 합:66
에피소드 9000 : 81, epsilon: 0.0, 보상 합:82
에피소드 9100 : 71, epsilon: 0.0, 보상 합:72
에피소드 9200 : 67, epsilon: 0.0, 보상 합:68
에피소드 9300 : 64, epsilon: 0.0, 보상 합:65
에피소드 9400 : 118, epsilon: 0.0, 보상 합:119
에피소드 9500 : 67, epsilon: 0.0, 보상 합:68
에피소드 9600 : 62, epsilon: 0.0, 보상 합:63
에피소드 9700 : 66, epsilon: 0.0, 보상 합:67
에피소드 9800 : 125, epsilon: 0.0, 보상 합:126
에피소드 9900 : 64, epsilon: 0.0, 보상 합:65
에피소드 10000 : 67, epsilon: 0.0, 보상 합:68
에피소드 10100 : 69, epsilon: 0.0, 보상 합:70
에피소드 10200 : 69, epsilon: 0.0, 보상 합:70
에피소드 10300 : 120, epsilon: 0.0, 보상 합:121
에피소드 10400 : 70, epsilon: 0.0, 보상 합:71
에피소드 10500 : 69, epsilon: 0.0, 보상 합:70
에피소드 10600 : 66, epsilon: 0.0, 보상 합:67
에피소드 10700 : 86, epsilon: 0.0, 보상 합:87
에피소드 10800 : 72, epsilon: 0.0, 보상 합:73
에피소드 10900 : 89, epsilon: 0.0, 보상 합:90
에피소드 11000 : 64, epsilon: 0.0, 보상 합:65
에피소드 11100 : 64, epsilon: 0.0, 보상 합:65
에피소드 11200 : 73, epsilon: 0.0, 보상 합:74
에피소드 11300 : 64, epsilon: 0.0, 보상 합:65
에피소드 11400 : 225, epsilon: 0.0, 보상 합:226
에피소드 11500 : 68, epsilon: 0.0, 보상 합:69
에피소드 11600 : 222, epsilon: 0.0, 보상 합:223
에피소드 11700 : 205, epsilon: 0.0, 보상 합:206
에피소드 11800 : 64, epsilon: 0.0, 보상 합:65
에피소드 11900 : 68, epsilon: 0.0, 보상 합:69
에피소드 12000 : 244, epsilon: 0.0, 보상 합:245
에피소드 12100 : 130, epsilon: 0.0, 보상 합:131
에피소드 12200 : 71, epsilon: 0.0, 보상 합:72
에피소드 12300 : 61, epsilon: 0.0, 보상 합:62
에피소드 12400 : 70, epsilon: 0.0, 보상 합:71
에피소드 12500 : 71, epsilon: 0.0, 보상 합:72
에피소드 12600 : 148, epsilon: 0.0, 보상 합:149
에피소드 12700 : 144, epsilon: 0.0, 보상 합:145
에피소드 12800 : 262, epsilon: 0.0, 보상 합:263
에피소드 12900 : 64, epsilon: 0.0, 보상 합:65
에피소드 13000 : 225, epsilon: 0.0, 보상 합:226
에피소드 13100 : 79, epsilon: 0.0, 보상 합:80
에피소드 13200 : 70, epsilon: 0.0, 보상 합:71
에피소드 13300 : 64, epsilon: 0.0, 보상 합:65
에피소드 13400 : 126, epsilon: 0.0, 보상 합:127
에피소드 13500 : 202, epsilon: 0.0, 보상 합:203
에피소드 13600 : 71, epsilon: 0.0, 보상 합:72
에피소드 13700 : 64, epsilon: 0.0, 보상 합:65
에피소드 13800 : 69, epsilon: 0.0, 보상 합:70
에피소드 13900 : 68, epsilon: 0.0, 보상 합:69
에피소드 14000 : 65, epsilon: 0.0, 보상 합:66
에피소드 14100 : 70, epsilon: 0.0, 보상 합:71
에피소드 14200 : 170, epsilon: 0.0, 보상 합:171
에피소드 14300 : 72, epsilon: 0.0, 보상 합:73
에피소드 14400 : 80, epsilon: 0.0, 보상 합:81
에피소드 14500 : 59, epsilon: 0.0, 보상 합:60
에피소드 14600 : 85, epsilon: 0.0, 보상 합:86
에피소드 14700 : 163, epsilon: 0.0, 보상 합:164
에피소드 14800 : 60, epsilon: 0.0, 보상 합:61
에피소드 14900 : 59, epsilon: 0.0, 보상 합:60
에피소드 15000 : 62, epsilon: 0.0, 보상 합:63
에피소드 15100 : 74, epsilon: 0.0, 보상 합:75
에피소드 15200 : 68, epsilon: 0.0, 보상 합:69
에피소드 15300 : 113, epsilon: 0.0, 보상 합:114
에피소드 15400 : 64, epsilon: 0.0, 보상 합:65
에피소드 15500 : 59, epsilon: 0.0, 보상 합:60
에피소드 15600 : 64, epsilon: 0.0, 보상 합:65
에피소드 15700 : 71, epsilon: 0.0, 보상 합:72
에피소드 15800 : 261, epsilon: 0.0, 보상 합:262
에피소드 15900 : 70, epsilon: 0.0, 보상 합:71
에피소드 16000 : 64, epsilon: 0.0, 보상 합:65
에피소드 16100 : 227, epsilon: 0.0, 보상 합:228
에피소드 16200 : 61, epsilon: 0.0, 보상 합:62
에피소드 16300 : 186, epsilon: 0.0, 보상 합:187
에피소드 16400 : 86, epsilon: 0.0, 보상 합:87
에피소드 16500 : 85, epsilon: 0.0, 보상 합:86
에피소드 16600 : 134, epsilon: 0.0, 보상 합:135
에피소드 16700 : 147, epsilon: 0.0, 보상 합:148
에피소드 16800 : 123, epsilon: 0.0, 보상 합:124
에피소드 16900 : 72, epsilon: 0.0, 보상 합:73
에피소드 17000 : 71, epsilon: 0.0, 보상 합:72
에피소드 17100 : 76, epsilon: 0.0, 보상 합:77
에피소드 17200 : 64, epsilon: 0.0, 보상 합:65
에피소드 17300 : 68, epsilon: 0.0, 보상 합:69
에피소드 17400 : 61, epsilon: 0.0, 보상 합:62
에피소드 17500 : 70, epsilon: 0.0, 보상 합:71
에피소드 17600 : 64, epsilon: 0.0, 보상 합:65
에피소드 17700 : 70, epsilon: 0.0, 보상 합:71
에피소드 17800 : 85, epsilon: 0.0, 보상 합:86
에피소드 17900 : 81, epsilon: 0.0, 보상 합:82
에피소드 18000 : 70, epsilon: 0.0, 보상 합:71
에피소드 18100 : 71, epsilon: 0.0, 보상 합:72
에피소드 18200 : 81, epsilon: 0.0, 보상 합:82
에피소드 18300 : 68, epsilon: 0.0, 보상 합:69
에피소드 18400 : 224, epsilon: 0.0, 보상 합:225
에피소드 18500 : 72, epsilon: 0.0, 보상 합:73
에피소드 18600 : 155, epsilon: 0.0, 보상 합:156
에피소드 18700 : 87, epsilon: 0.0, 보상 합:88
에피소드 18800 : 59, epsilon: 0.0, 보상 합:60
에피소드 18900 : 59, epsilon: 0.0, 보상 합:60
에피소드 19000 : 62, epsilon: 0.0, 보상 합:63
에피소드 19100 : 59, epsilon: 0.0, 보상 합:60
에피소드 19200 : 59, epsilon: 0.0, 보상 합:60
에피소드 19300 : 59, epsilon: 0.0, 보상 합:60
에피소드 19400 : 123, epsilon: 0.0, 보상 합:124
에피소드 19500 : 64, epsilon: 0.0, 보상 합:65
에피소드 19600 : 157, epsilon: 0.0, 보상 합:158
에피소드 19700 : 96, epsilon: 0.0, 보상 합:97
에피소드 19800 : 85, epsilon: 0.0, 보상 합:86
에피소드 19900 : 72, epsilon: 0.0, 보상 합:73

Process finished with exit code 0
