C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-12 19:15:29.445953: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-12 19:15:29.447272: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-12 19:15:43.962184: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-12 19:15:43.969451: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-12 19:15:43.969958: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-12 19:15:43.985449: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-12 19:15:43.985931: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-12 19:15:43.987817: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-12 19:15:43.989743: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 802, epsilon: 1.5, 보상 합:531
에피소드 100 : 783, epsilon: 1.4268262953635011, 보상 합:494
에피소드 200 : 561, epsilon: 1.3572221847604897, 보상 합:344
에피소드 300 : 816, epsilon: 1.2910135345779783, 보상 합:525
에피소드 400 : 751, epsilon: 1.2280347058706922, 보상 합:477
에피소드 500 : 999, epsilon: 1.1681281399701908, 보상 합:620
에피소드 600 : 816, epsilon: 1.111143964309016, 보상 합:497
에피소드 700 : 526, epsilon: 1.056939617473699, 보상 합:318
에피소드 800 : 999, epsilon: 1.005379492548609, 보상 합:673
에피소드 900 : 758, epsilon: 0.9563345978583789, 보상 합:467
에피소드 1000 : 597, epsilon: 0.9096822342601434, 보상 합:401
에피소드 1100 : 682, epsilon: 0.8653056881782626, 보상 합:433
에피소드 1200 : 520, epsilon: 0.8230939396135708, 보상 합:348
에피소드 1300 : 594, epsilon: 0.7829413843966541, 보상 합:423
에피소드 1400 : 297, epsilon: 0.7447475699902992, 보상 합:196
에피소드 1500 : 999, epsilon: 0.7084169441801518, 보상 합:723
에피소드 1600 : 610, epsilon: 0.6738586160248651, 보상 합:442
에피소드 1700 : 649, epsilon: 0.6409861284676901, 보상 합:484
에피소드 1800 : 999, epsilon: 0.6097172420406319, 보상 합:761
에피소드 1900 : 999, epsilon: 0.5799737291200572, 보상 합:792
에피소드 2000 : 808, epsilon: 0.5516811782190176, 보상 합:614
에피소드 2100 : 999, epsilon: 0.5247688078266746, 보상 합:802
