C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-12 21:13:30.435779: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-12 21:13:30.436042: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-12 21:13:36.414762: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-12 21:13:36.418344: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-12 21:13:36.419269: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-12 21:13:36.428422: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-12 21:13:36.429182: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-12 21:13:36.429824: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-12 21:13:36.431469: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 643, epsilon: 1.5, 보상 합:403
에피소드 100 : 682, epsilon: 1.4268262953635011, 보상 합:431
에피소드 200 : 462, epsilon: 1.3572221847604897, 보상 합:277
에피소드 300 : 813, epsilon: 1.2910135345779783, 보상 합:487
에피소드 400 : 999, epsilon: 1.2280347058706922, 보상 합:635
에피소드 500 : 268, epsilon: 1.1681281399701908, 보상 합:154
에피소드 600 : 417, epsilon: 1.111143964309016, 보상 합:243
에피소드 700 : 496, epsilon: 1.056939617473699, 보상 합:316
에피소드 800 : 522, epsilon: 1.005379492548609, 보상 합:330
에피소드 900 : 694, epsilon: 0.9563345978583789, 보상 합:432
에피소드 1000 : 976, epsilon: 0.9096822342601434, 보상 합:669
에피소드 1100 : 820, epsilon: 0.8653056881782626, 보상 합:522
에피소드 1200 : 920, epsilon: 0.8230939396135708, 보상 합:606
에피소드 1300 : 520, epsilon: 0.7829413843966541, 보상 합:350
에피소드 1400 : 717, epsilon: 0.7447475699902992, 보상 합:508
에피소드 1500 : 465, epsilon: 0.7084169441801518, 보상 합:306
에피소드 1600 : 857, epsilon: 0.6738586160248651, 보상 합:620
에피소드 1700 : 421, epsilon: 0.6409861284676901, 보상 합:287
에피소드 1800 : 382, epsilon: 0.6097172420406319, 보상 합:268
에피소드 1900 : 522, epsilon: 0.5799737291200572, 보상 합:382
에피소드 2000 : 455, epsilon: 0.5516811782190176, 보상 합:349
에피소드 2100 : 999, epsilon: 0.5247688078266746, 보상 합:816
에피소드 2200 : 999, epsilon: 0.4991692893291036, 보상 합:805
에피소드 2300 : 944, epsilon: 0.47481857856845094, 보상 합:760
에피소드 2400 : 753, epsilon: 0.45165575561905763, 보상 합:571
에피소드 2500 : 999, epsilon: 0.4296228723796952, 보상 합:832
에피소드 2600 : 821, epsilon: 0.40866480760063095, 보상 합:672
에피소드 2700 : 999, epsilon: 0.38872912898283096, 보상 합:826
에피소드 2800 : 752, epsilon: 0.3697659620043022, 보상 합:625
에피소드 2900 : 999, epsilon: 0.351727865145413, 보상 합:892
에피소드 3000 : 999, epsilon: 0.33456971120102863, 보상 합:848
에피소드 3100 : 999, epsilon: 0.3182485743825335, 보상 합:896
에피소드 3200 : 999, epsilon: 0.3027236229272975, 보상 합:863
에피소드 3300 : 618, epsilon: 0.2879560169469154, 보상 합:497
에피소드 3400 : 999, epsilon: 0.27390881125866456, 보상 합:889
에피소드 3500 : 999, epsilon: 0.26054686295708057, 보상 합:915
에피소드 3600 : 975, epsilon: 0.24783674349442225, 보상 합:837
에피소드 3700 : 999, epsilon: 0.23574665505006714, 보상 합:896
에피소드 3800 : 554, epsilon: 0.22424635097961643, 보상 합:446
에피소드 3900 : 999, epsilon: 0.2133070601446863, 보상 합:890
에피소드 4000 : 889, epsilon: 0.20290141493408156, 보상 합:777
에피소드 4100 : 325, epsilon: 0.19300338279627216, 보상 합:266
에피소드 4200 : 492, epsilon: 0.18358820111188587, 보상 합:414
에피소드 4300 : 999, epsilon: 0.17463231524328113, 보상 합:939
에피소드 4400 : 775, epsilon: 0.16611331960621462, 보상 합:690
에피소드 4500 : 955, epsilon: 0.1580099016161789, 보상 합:846
에피소드 4600 : 328, epsilon: 0.15030178836917577, 보상 합:222
에피소드 4700 : 999, epsilon: 0.1429696959235333, 보상 합:932
에피소드 4800 : 645, epsilon: 0.135995281055881, 보상 합:559
에피소드 4900 : 999, epsilon: 0.1293610953705872, 보상 합:932
에피소드 5000 : 999, epsilon: 0.123050541647853, 보상 합:921
에피소드 5100 : 467, epsilon: 0.11704783232125221, 보상 합:388
에피소드 5200 : 649, epsilon: 0.1113379499808404, 보상 합:555
에피소드 5300 : 790, epsilon: 0.10590660980301952, 보상 합:703
에피소드 5400 : 999, epsilon: 0.10074022381316684, 보상 합:957
에피소드 5500 : 999, epsilon: 0.09582586689162056, 보상 합:974
에피소드 5600 : 445, epsilon: 0.09115124443797802, 보상 합:360
에피소드 5700 : 999, epsilon: 0.08670466161280879, 보상 합:955
에피소드 5800 : 999, epsilon: 0.08247499407983327, 보상 합:924
에피소드 5900 : 999, epsilon: 0.07845166017537016, 보상 합:951
에피소드 6000 : 999, epsilon: 0.0746245944354265, 보상 합:971
에피소드 6100 : 628, epsilon: 0.07098422241420221, 보상 합:554
에피소드 6200 : 999, epsilon: 0.06752143673100997, 보상 합:957
에피소드 6300 : 999, epsilon: 0.06422757428568535, 보상 합:964
에피소드 6400 : 851, epsilon: 0.061094394585485615, 보상 합:773
