num,episode35,epsilon35,sum35
0,630,1.5,389
100,999,1.426826295,647
200,503,1.357222185,299
300,483,1.291013535,294
400,742,1.228034706,456
500,548,1.16812814,346
600,515,1.111143964,338
700,559,1.056939617,382
800,682,1.005379493,421
900,481,0.956334598,296
1000,999,0.909682234,645
1100,999,0.865305688,643
1200,538,0.82309394,350
1300,630,0.782941384,414
1400,352,0.74474757,206
1500,999,0.708416944,745
1600,924,0.673858616,701
1700,999,0.640986128,777
1800,999,0.609717242,758
1900,999,0.579973729,781
2000,999,0.551681178,810
2100,999,0.524768808,789
2200,999,0.499169289,812
2300,440,0.474818579,347
2400,814,0.451655756,668
2500,999,0.429622872,825
2600,746,0.408664808,592
2700,999,0.388729129,849
2800,999,0.369765962,829
2900,835,0.351727865,692
3000,607,0.334569711,506
3100,296,0.318248574,200
3200,999,0.302723623,891
3300,583,0.287956017,466
3400,839,0.273908811,712
3500,999,0.260546863,879
3600,999,0.247836743,901
3700,929,0.235746655,794
3800,847,0.224246351,744
3900,999,0.21330706,894
4000,748,0.202901415,642
4100,999,0.193003383,894
4200,999,0.183588201,906
4300,239,0.174632315,159
4400,999,0.16611332,957
4500,999,0.158009902,912
4600,669,0.150301788,574
4700,999,0.142969696,884
4800,999,0.135995281,893
4900,999,0.129361095,949
5000,193,0.123050542,159
5100,999,0.117047832,911
5200,999,0.11133795,935
5300,347,0.10590661,268
5400,999,0.100740224,938
5500,683,0.095825867,623
5600,999,0.091151244,986
5700,999,0.086704662,952
5800,999,0.082474994,983
5900,999,0.07845166,978
6000,999,0.074624594,944
6100,482,0.070984222,395
6200,266,0.067521437,171
6300,999,0.064227574,950
6400,999,0.061094395,982
6500,999,0.058114059,911
6600,166,0.055279112,94
6700,443,0.05258246,362
6800,167,0.050017358,113
6900,999,0.047577388,989
7000,706,0.045256445,601
7100,999,0.043048724,997
7200,999,0.040948701,971
7300,999,0.038951122,975
7400,572,0.03705099,518
7500,999,0.035243551,983
7600,999,0.033524284,951
7700,999,0.031888887,991
7800,213,0.030333268,155
7900,999,0.03,1006
8000,999,0.03,991
8100,526,0.03,471
8200,999,0.03,988
8300,999,0.03,956
8400,999,0.03,936
8500,163,0.03,115
8600,999,0.03,1002
8700,999,0.03,954
8800,999,0.03,962
8900,999,0.03,978
9000,193,0.03,112
9100,329,0.03,236
9200,999,0.03,937
9300,175,0.03,109
9400,999,0.03,1000
9500,639,0.03,561
9600,999,0.03,950
9700,999,0.03,1005
9800,999,0.03,987
9900,999,0.03,1012
