num,episode11,epsilon11,sum11
0,676,1.5,394
100,285,1.426826295,158
200,750,1.357222185,461
300,741,1.291013535,480
400,961,1.228034706,598
500,999,1.16812814,649
600,759,1.111143964,468
700,821,1.056939617,499
800,972,1.005379493,629
900,999,0.956334598,653
1000,400,0.909682234,235
1100,745,0.865305688,473
1200,999,0.82309394,687
1300,879,0.782941384,623
1400,999,0.74474757,727
1500,205,0.708416944,120
1600,769,0.673858616,559
1700,999,0.640986128,744
1800,999,0.609717242,795
1900,646,0.579973729,479
2000,999,0.551681178,773
2100,362,0.524768808,237
2200,892,0.499169289,712
2300,436,0.474818579,313
2400,388,0.451655756,287
2500,999,0.429622872,810
2600,682,0.408664808,523
2700,999,0.388729129,834
2800,834,0.369765962,685
2900,356,0.351727865,259
3000,853,0.334569711,710
3100,999,0.318248574,898
3200,999,0.302723623,890
3300,681,0.287956017,560
3400,999,0.273908811,860
3500,279,0.260546863,179
3600,622,0.247836743,533
3700,728,0.235746655,598
3800,999,0.224246351,892
3900,489,0.21330706,403
4000,999,0.202901415,909
4100,999,0.193003383,915
4200,533,0.183588201,451
4300,956,0.174632315,867
4400,921,0.16611332,816
4500,658,0.158009902,578
4600,999,0.150301788,910
4700,336,0.142969696,246
4800,999,0.135995281,924
4900,611,0.129361095,499
5000,999,0.123050542,930
5100,999,0.117047832,940
5200,999,0.11133795,979
5300,699,0.10590661,604
5400,999,0.100740224,940
5500,999,0.095825867,956
5600,999,0.091151244,941
5700,999,0.086704662,936
5800,999,0.082474994,966
5900,999,0.07845166,944
6000,999,0.074624594,966
6100,999,0.070984222,964
6200,999,0.067521437,970
6300,999,0.064227574,974
6400,999,0.061094395,979
6500,323,0.058114059,244
6600,999,0.055279112,908
6700,999,0.05258246,974
6800,999,0.050017358,945
6900,999,0.047577388,989
7000,999,0.045256445,972
7100,999,0.043048724,1013
7200,999,0.040948701,1011
7300,999,0.038951122,974
7400,999,0.03705099,1003
7500,999,0.035243551,1001
7600,999,0.033524284,1001
7700,999,0.031888887,982
7800,999,0.030333268,1004
7900,999,0.03,1005
8000,999,0.03,1003
8100,999,0.03,1000
8200,999,0.03,985
8300,999,0.03,973
8400,999,0.03,1009
8500,999,0.03,989
8600,999,0.03,1020
8700,943,0.03,881
8800,999,0.03,977
8900,999,0.03,993
9000,999,0.03,996
9100,999,0.03,1006
9200,999,0.03,985
9300,600,0.03,529
9400,999,0.03,1005
9500,999,0.03,966
9600,999,0.03,1004
9700,999,0.03,1017
9800,999,0.03,1009
9900,999,0.03,1009
