num,episode6,epsilon6,sum6
0,655,1.5,395
100,889,1.426826295,585
200,716,1.357222185,450
300,999,1.291013535,643
400,748,1.228034706,455
500,519,1.16812814,288
600,993,1.111143964,626
700,361,1.056939617,216
800,701,1.005379493,435
900,999,0.956334598,639
1000,999,0.909682234,659
1100,568,0.865305688,388
1200,775,0.82309394,524
1300,459,0.782941384,307
1400,999,0.74474757,721
1500,999,0.708416944,721
1600,280,0.673858616,183
1700,743,0.640986128,564
1800,640,0.609717242,491
1900,999,0.579973729,809
2000,999,0.551681178,776
2100,858,0.524768808,692
2200,999,0.499169289,835
2300,999,0.474818579,837
2400,364,0.451655756,261
2500,650,0.429622872,509
2600,999,0.408664808,836
2700,964,0.388729129,798
2800,573,0.369765962,441
2900,999,0.351727865,836
3000,999,0.334569711,879
3100,372,0.318248574,270
3200,602,0.302723623,481
3300,129,0.287956017,54
3400,302,0.273908811,236
3500,999,0.260546863,905
3600,999,0.247836743,892
3700,405,0.235746655,318
3800,726,0.224246351,657
3900,767,0.21330706,674
4000,488,0.202901415,396
4100,999,0.193003383,897
4200,999,0.183588201,895
4300,650,0.174632315,553
4400,696,0.16611332,620
4500,999,0.158009902,944
4600,632,0.150301788,553
4700,999,0.142969696,925
4800,616,0.135995281,521
4900,999,0.129361095,932
5000,291,0.123050542,234
5100,999,0.117047832,928
5200,999,0.11133795,942
5300,938,0.10590661,845
5400,550,0.100740224,489
5500,254,0.095825867,192
5600,999,0.091151244,939
5700,649,0.086704662,591
5800,481,0.082474994,421
5900,999,0.07845166,959
6000,801,0.074624594,759
6100,999,0.070984222,958
6200,912,0.067521437,834
6300,999,0.064227574,965
6400,999,0.061094395,975
6500,999,0.058114059,962
6600,999,0.055279112,964
6700,999,0.05258246,965
6800,994,0.050017358,923
6900,999,0.047577388,988
7000,999,0.045256445,1012
7100,428,0.043048724,305
7200,999,0.040948701,985
7300,999,0.038951122,981
7400,636,0.03705099,579
7500,999,0.035243551,990
7600,999,0.033524284,987
7700,999,0.031888887,978
7800,999,0.030333268,986
7900,999,0.03,997
8000,999,0.03,1022
8100,790,0.03,728
8200,999,0.03,982
8300,999,0.03,980
8400,999,0.03,974
8500,999,0.03,979
8600,999,0.03,1004
8700,608,0.03,575
8800,966,0.03,893
8900,999,0.03,1026
9000,999,0.03,976
9100,999,0.03,966
9200,999,0.03,979
9300,999,0.03,975
9400,999,0.03,965
9500,999,0.03,979
9600,999,0.03,969
9700,999,0.03,1002
9800,168,0.03,111
9900,999,0.03,1001
