num,episode19,epsilon19,sum19
0,848,1.5,502
100,511,1.426826295,304
200,651,1.357222185,418
300,561,1.291013535,326
400,777,1.228034706,503
500,594,1.16812814,345
600,715,1.111143964,460
700,347,1.056939617,190
800,692,1.005379493,421
900,722,0.956334598,463
1000,442,0.909682234,277
1100,464,0.865305688,309
1200,436,0.82309394,283
1300,763,0.782941384,512
1400,851,0.74474757,613
1500,888,0.708416944,623
1600,999,0.673858616,717
1700,998,0.640986128,761
1800,999,0.609717242,755
1900,814,0.579973729,608
2000,999,0.551681178,799
2100,999,0.524768808,823
2200,241,0.499169289,168
2300,999,0.474818579,792
2400,999,0.451655756,806
2500,999,0.429622872,823
2600,931,0.408664808,760
2700,999,0.388729129,813
2800,999,0.369765962,823
2900,999,0.351727865,869
3000,999,0.334569711,855
3100,999,0.318248574,862
3200,391,0.302723623,285
3300,999,0.287956017,890
3400,999,0.273908811,889
3500,684,0.260546863,586
3600,423,0.247836743,304
3700,999,0.235746655,905
3800,999,0.224246351,892
3900,597,0.21330706,505
4000,999,0.202901415,892
4100,999,0.193003383,933
4200,999,0.183588201,906
4300,999,0.174632315,890
4400,624,0.16611332,540
4500,999,0.158009902,907
4600,999,0.150301788,951
4700,999,0.142969696,955
4800,999,0.135995281,942
4900,223,0.129361095,163
5000,999,0.123050542,960
5100,157,0.117047832,98
5200,999,0.11133795,870
5300,999,0.10590661,967
5400,650,0.100740224,558
5500,999,0.095825867,966
5600,353,0.091151244,309
5700,696,0.086704662,614
5800,999,0.082474994,955
5900,999,0.07845166,916
6000,916,0.074624594,866
6100,999,0.070984222,929
6200,999,0.067521437,943
6300,999,0.064227574,987
6400,999,0.061094395,972
6500,999,0.058114059,993
6600,999,0.055279112,949
6700,999,0.05258246,974
6800,999,0.050017358,944
6900,999,0.047577388,971
7000,999,0.045256445,997
7100,185,0.043048724,97
7200,999,0.040948701,993
7300,504,0.038951122,428
7400,217,0.03705099,122
7500,999,0.035243551,998
7600,999,0.033524284,998
7700,216,0.031888887,168
7800,204,0.030333268,107
7900,999,0.03,977
8000,999,0.03,973
8100,999,0.03,993
8200,788,0.03,749
8300,999,0.03,989
8400,872,0.03,805
8500,959,0.03,892
8600,142,0.03,109
8700,215,0.03,116
8800,999,0.03,985
8900,999,0.03,983
9000,999,0.03,994
9100,999,0.03,988
9200,999,0.03,999
9300,823,0.03,759
9400,999,0.03,998
9500,999,0.03,974
9600,999,0.03,981
9700,485,0.03,426
9800,999,0.03,1016
9900,999,0.03,992
