에피소드 0 : 51, epsilon: 1.0, 보상 합:52
에피소드 9000 : 47, epsilon: 0.6376209781063263, 보상 합:48
에피소드 9100 : 93, epsilon: 0.6344407509030966, 보상 합:94
에피소드 9200 : 90, epsilon: 0.6312763855447736, 보상 합:91
에피소드 9300 : 52, epsilon: 0.6281278029181032, 보상 합:53
에피소드 9400 : 137, epsilon: 0.62499492430442, 보상 합:138
에피소드 9500 : 54, epsilon: 0.621877671377679, 보상 합:55
에피소드 9600 : 56, epsilon: 0.618775966202498, 보상 합:57
에피소드 9700 : 95, epsilon: 0.6156897312322083, 보상 합:96
에피소드 9800 : 88, epsilon: 0.6126188893069178, 보상 합:89
에피소드 9900 : 92, epsilon: 0.6095633636515787, 보상 합:93
에피소드 10000 : 126, epsilon: 0.6065230778740716, 보상 합:127
에피소드 10100 : 167, epsilon: 0.6034979559632925, 보상 합:168
에피소드 10200 : 47, epsilon: 0.6004879222872556, 보상 합:48
에피소드 10300 : 48, epsilon: 0.5974929015911985, 보상 합:49
에피소드 10400 : 100, epsilon: 0.594512818995704, 보상 합:101
에피소드 10500 : 53, epsilon: 0.5915475999948258, 보상 합:54
에피소드 10600 : 86, epsilon: 0.58859717045423, 보상 합:87
에피소드 10700 : 40, epsilon: 0.5856614566093343, 보상 합:41
에피소드 10800 : 56, epsilon: 0.5827403850634706, 보상 합:57
에피소드 10900 : 84, epsilon: 0.5798338827860471, 보상 합:85
에피소드 11000 : 223, epsilon: 0.5769418771107209, 보상 합:224
에피소드 11100 : 104, epsilon: 0.5740642957335859, 보상 합:105
에피소드 11200 : 119, epsilon: 0.5712010667113592, 보상 합:120
에피소드 11300 : 90, epsilon: 0.5683521184595874, 보상 합:91
에피소드 11400 : 151, epsilon: 0.5655173797508543, 보상 합:152
에피소드 11500 : 45, epsilon: 0.5626967797130004, 보상 합:46
에피소드 11600 : 276, epsilon: 0.5598902478273522, 보상 합:277
에피소드 11700 : 46, epsilon: 0.5570977139269595, 보상 합:47
에피소드 11800 : 48, epsilon: 0.5543191081948373, 보상 합:49
에피소드 11900 : 51, epsilon: 0.551554361162224, 보상 합:52
에피소드 12000 : 121, epsilon: 0.5488034037068446, 보상 합:122
에피소드 12100 : 197, epsilon: 0.5460661670511799, 보상 합:198
에피소드 12200 : 207, epsilon: 0.5433425827607494, 보상 합:208
에피소드 12300 : 167, epsilon: 0.5406325827423988, 보상 합:168
에피소드 12400 : 44, epsilon: 0.5379360992426001, 보상 합:45
에피소드 12500 : 55, epsilon: 0.5352530648457532, 보상 합:56
에피소드 12600 : 169, epsilon: 0.532583412472505, 보상 합:170
에피소드 12700 : 57, epsilon: 0.5299270753780697, 보상 합:58
에피소드 12800 : 155, epsilon: 0.5272839871505609, 보상 합:156
에피소드 12900 : 51, epsilon: 0.5246540817093323, 보상 합:52
에피소드 13000 : 50, epsilon: 0.5220372933033217, 보상 합:51
에피소드 13100 : 50, epsilon: 0.5194335565094124, 보상 합:51
에피소드 13200 : 54, epsilon: 0.5168428062307945, 보상 합:55
에피소드 13300 : 126, epsilon: 0.5142649776953369, 보상 합:127
에피소드 13400 : 89, epsilon: 0.5117000064539697, 보상 합:90
에피소드 13500 : 264, epsilon: 0.509147828379072, 보상 합:265
에피소드 13600 : 54, epsilon: 0.5066083796628685, 보상 합:55
에피소드 13700 : 171, epsilon: 0.5040815968158346, 보상 합:172
에피소드 13800 : 78, epsilon: 0.5015674166651087, 보상 합:79
에피소드 13900 : 176, epsilon: 0.49906577635291366, 보상 합:177
에피소드 14000 : 96, epsilon: 0.4965766133349839, 보상 합:97
에피소드 14100 : 93, epsilon: 0.49409986537900286, 보상 합:94
에피소드 14200 : 211, epsilon: 0.4916354705630462, 보상 합:212
