C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-12 06:12:49.753498: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-12 06:12:49.753761: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-12 06:12:53.645403: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-12 06:12:53.649555: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-12 06:12:53.649881: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-12 06:12:53.658509: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-12 06:12:53.658993: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-12 06:12:53.659643: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-12 06:12:53.660582: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 6900 : 189, epsilon: 0.04757738767316547, 보상 합:114
에피소드 7000 : 999, epsilon: 0.04525644519785055, 보상 합:989
에피소드 7100 : 999, epsilon: 0.04304872402864694, 보상 합:944
에피소드 7200 : 999, epsilon: 0.04094870095061335, 보상 합:950
에피소드 7300 : 999, epsilon: 0.038951122184874364, 보상 합:984
에피소드 7400 : 602, epsilon: 0.03705099024486357, 보상 합:519
에피소드 7500 : 999, epsilon: 0.03524355143375197, 보상 합:977
에피소드 7600 : 999, epsilon: 0.033524283951782224, 보상 합:933
에피소드 7700 : 999, epsilon: 0.03188888658375702, 보상 합:958
에피소드 7800 : 999, epsilon: 0.030333267938379253, 보상 합:963
에피소드 7900 : 999, epsilon: 0.03, 보상 합:975
에피소드 8000 : 999, epsilon: 0.03, 보상 합:1013
에피소드 8100 : 999, epsilon: 0.03, 보상 합:986
에피소드 8200 : 999, epsilon: 0.03, 보상 합:977
에피소드 8300 : 999, epsilon: 0.03, 보상 합:950
에피소드 8400 : 999, epsilon: 0.03, 보상 합:946
에피소드 8500 : 999, epsilon: 0.03, 보상 합:984
에피소드 8600 : 999, epsilon: 0.03, 보상 합:958
에피소드 8700 : 999, epsilon: 0.03, 보상 합:937
에피소드 8800 : 999, epsilon: 0.03, 보상 합:928
에피소드 8900 : 361, epsilon: 0.03, 보상 합:283
에피소드 9000 : 999, epsilon: 0.03, 보상 합:904
에피소드 9100 : 999, epsilon: 0.03, 보상 합:963
에피소드 9200 : 999, epsilon: 0.03, 보상 합:967
에피소드 9300 : 991, epsilon: 0.03, 보상 합:925
에피소드 9400 : 999, epsilon: 0.03, 보상 합:990
에피소드 9500 : 419, epsilon: 0.03, 보상 합:337
에피소드 9600 : 999, epsilon: 0.03, 보상 합:1001
에피소드 9700 : 999, epsilon: 0.03, 보상 합:979
에피소드 9800 : 999, epsilon: 0.03, 보상 합:1013
에피소드 9900 : 999, epsilon: 0.03, 보상 합:966
에피소드 10000 : 540, epsilon: 0.03, 보상 합:467
에피소드 10100 : 999, epsilon: 0.03, 보상 합:970
에피소드 10200 : 999, epsilon: 0.03, 보상 합:985
에피소드 10300 : 999, epsilon: 0.03, 보상 합:994
에피소드 10400 : 282, epsilon: 0.03, 보상 합:179
에피소드 10500 : 999, epsilon: 0.03, 보상 합:980
에피소드 10600 : 999, epsilon: 0.03, 보상 합:999
에피소드 10700 : 973, epsilon: 0.03, 보상 합:896
에피소드 10800 : 999, epsilon: 0.03, 보상 합:984
에피소드 10900 : 999, epsilon: 0.03, 보상 합:999
에피소드 11000 : 999, epsilon: 0.03, 보상 합:958
에피소드 11100 : 999, epsilon: 0.03, 보상 합:933
에피소드 11200 : 188, epsilon: 0.03, 보상 합:97
에피소드 11300 : 999, epsilon: 0.03, 보상 합:971
에피소드 11400 : 999, epsilon: 0.03, 보상 합:961
에피소드 11500 : 999, epsilon: 0.03, 보상 합:971
에피소드 11600 : 999, epsilon: 0.03, 보상 합:984
에피소드 11700 : 999, epsilon: 0.03, 보상 합:995
에피소드 11800 : 468, epsilon: 0.03, 보상 합:369
에피소드 11900 : 456, epsilon: 0.03, 보상 합:393
에피소드 12000 : 999, epsilon: 0.03, 보상 합:988
에피소드 12100 : 999, epsilon: 0.03, 보상 합:966
에피소드 12200 : 999, epsilon: 0.03, 보상 합:961
에피소드 12300 : 999, epsilon: 0.03, 보상 합:956
에피소드 12400 : 175, epsilon: 0.03, 보상 합:107
에피소드 12500 : 999, epsilon: 0.03, 보상 합:955
에피소드 12600 : 538, epsilon: 0.03, 보상 합:450
에피소드 12700 : 999, epsilon: 0.03, 보상 합:981
에피소드 12800 : 999, epsilon: 0.03, 보상 합:981
에피소드 12900 : 999, epsilon: 0.03, 보상 합:968
에피소드 13000 : 999, epsilon: 0.03, 보상 합:977
에피소드 13100 : 999, epsilon: 0.03, 보상 합:976
에피소드 13200 : 999, epsilon: 0.03, 보상 합:972
에피소드 13300 : 999, epsilon: 0.03, 보상 합:977
에피소드 13400 : 999, epsilon: 0.03, 보상 합:963
에피소드 13500 : 999, epsilon: 0.03, 보상 합:975
에피소드 13600 : 121, epsilon: 0.03, 보상 합:67
에피소드 13700 : 999, epsilon: 0.03, 보상 합:998
에피소드 13800 : 999, epsilon: 0.03, 보상 합:956
에피소드 13900 : 999, epsilon: 0.03, 보상 합:974
에피소드 14000 : 999, epsilon: 0.03, 보상 합:957
에피소드 14100 : 999, epsilon: 0.03, 보상 합:982
에피소드 14200 : 999, epsilon: 0.03, 보상 합:975
에피소드 14300 : 999, epsilon: 0.03, 보상 합:995
에피소드 14400 : 999, epsilon: 0.03, 보상 합:985
에피소드 14500 : 999, epsilon: 0.03, 보상 합:982
에피소드 14600 : 999, epsilon: 0.03, 보상 합:993
에피소드 14700 : 999, epsilon: 0.03, 보상 합:1009
에피소드 14800 : 999, epsilon: 0.03, 보상 합:989
에피소드 14900 : 999, epsilon: 0.03, 보상 합:997
에피소드 15000 : 999, epsilon: 0.03, 보상 합:1002
에피소드 15100 : 999, epsilon: 0.03, 보상 합:988
에피소드 15200 : 999, epsilon: 0.03, 보상 합:988
에피소드 15300 : 351, epsilon: 0.03, 보상 합:268
에피소드 15400 : 999, epsilon: 0.03, 보상 합:974
에피소드 15500 : 999, epsilon: 0.03, 보상 합:958
에피소드 15600 : 427, epsilon: 0.03, 보상 합:342
에피소드 15700 : 999, epsilon: 0.03, 보상 합:988
에피소드 15800 : 472, epsilon: 0.03, 보상 합:389
에피소드 15900 : 999, epsilon: 0.03, 보상 합:998
에피소드 16000 : 999, epsilon: 0.03, 보상 합:983
에피소드 16100 : 999, epsilon: 0.03, 보상 합:980
에피소드 16200 : 999, epsilon: 0.03, 보상 합:999
에피소드 16300 : 999, epsilon: 0.03, 보상 합:963
에피소드 16400 : 999, epsilon: 0.03, 보상 합:987
에피소드 16500 : 999, epsilon: 0.03, 보상 합:970
에피소드 16600 : 999, epsilon: 0.03, 보상 합:1007
