num,episode10,epsilon10,sum10
0,569,1.5,334
100,563,1.426826295,327
200,603,1.357222185,383
300,782,1.291013535,504
400,862,1.228034706,537
500,659,1.16812814,402
600,678,1.111143964,420
700,608,1.056939617,360
800,494,1.005379493,296
900,788,0.956334598,514
1000,399,0.909682234,244
1100,374,0.865305688,235
1200,984,0.82309394,691
1300,876,0.782941384,623
1400,656,0.74474757,460
1500,366,0.708416944,248
1600,845,0.673858616,630
1700,999,0.640986128,755
1800,999,0.609717242,790
1900,717,0.579973729,555
2000,999,0.551681178,828
2100,764,0.524768808,603
2200,999,0.499169289,809
2300,999,0.474818579,824
2400,999,0.451655756,818
2500,999,0.429622872,839
2600,999,0.408664808,864
2700,999,0.388729129,876
2800,686,0.369765962,558
2900,939,0.351727865,766
3000,999,0.334569711,857
3100,748,0.318248574,617
3200,884,0.302723623,720
3300,178,0.287956017,114
3400,999,0.273908811,874
3500,999,0.260546863,887
3600,483,0.247836743,393
3700,167,0.235746655,106
3800,999,0.224246351,889
3900,999,0.21330706,885
4000,999,0.202901415,871
4100,999,0.193003383,926
4200,999,0.183588201,939
4300,158,0.174632315,82
4400,999,0.16611332,928
4500,920,0.158009902,821
4600,999,0.150301788,932
4700,999,0.142969696,940
4800,620,0.135995281,533
4900,999,0.129361095,931
5000,999,0.123050542,917
5100,773,0.117047832,682
5200,999,0.11133795,929
5300,999,0.10590661,951
5400,782,0.100740224,699
5500,708,0.095825867,628
5600,143,0.091151244,97
5700,918,0.086704662,823
5800,759,0.082474994,683
5900,168,0.07845166,100
6000,999,0.074624594,995
6100,999,0.070984222,982
6200,999,0.067521437,937
6300,999,0.064227574,925
6400,999,0.061094395,964
6500,999,0.058114059,943
6600,156,0.055279112,63
6700,999,0.05258246,992
6800,999,0.050017358,958
6900,211,0.047577388,146
7000,999,0.045256445,987
7100,999,0.043048724,981
7200,648,0.040948701,596
7300,999,0.038951122,1003
7400,999,0.03705099,1008
7500,999,0.035243551,1008
7600,999,0.033524284,1002
7700,999,0.031888887,983
7800,999,0.030333268,985
7900,999,0.03,980
8000,715,0.03,620
8100,999,0.03,961
8200,999,0.03,1011
8300,999,0.03,961
8400,999,0.03,969
8500,999,0.03,982
8600,537,0.03,473
8700,999,0.03,1000
8800,999,0.03,960
8900,307,0.03,244
9000,999,0.03,1000
9100,999,0.03,975
9200,999,0.03,953
9300,999,0.03,983
9400,999,0.03,988
9500,999,0.03,961
9600,999,0.03,1010
9700,999,0.03,1013
9800,999,0.03,970
9900,999,0.03,944
