num,episode30,epsilon30,sum30
0,999,1.5,637
100,816,1.426826295,481
200,490,1.357222185,307
300,267,1.291013535,142
400,995,1.228034706,634
500,914,1.16812814,575
600,686,1.111143964,417
700,638,1.056939617,399
800,453,1.005379493,275
900,864,0.956334598,563
1000,931,0.909682234,581
1100,999,0.865305688,679
1200,686,0.82309394,455
1300,961,0.782941384,673
1400,999,0.74474757,726
1500,915,0.708416944,681
1600,999,0.673858616,750
1700,999,0.640986128,772
1800,999,0.609717242,787
1900,680,0.579973729,529
2000,999,0.551681178,810
2100,999,0.524768808,844
2200,999,0.499169289,834
2300,492,0.474818579,371
2400,705,0.451655756,583
2500,724,0.429622872,582
2600,999,0.408664808,816
2700,999,0.388729129,848
2800,999,0.369765962,857
2900,842,0.351727865,698
3000,999,0.334569711,886
3100,803,0.318248574,654
3200,999,0.302723623,914
3300,999,0.287956017,844
3400,999,0.273908811,884
3500,504,0.260546863,389
3600,999,0.247836743,875
3700,999,0.235746655,900
3800,999,0.224246351,936
3900,999,0.21330706,922
4000,999,0.202901415,924
4100,697,0.193003383,588
4200,999,0.183588201,917
4300,999,0.174632315,953
4400,999,0.16611332,948
4500,999,0.158009902,950
4600,999,0.150301788,923
4700,999,0.142969696,930
4800,999,0.135995281,941
4900,999,0.129361095,975
5000,322,0.123050542,264
5100,474,0.117047832,372
5200,999,0.11133795,962
5300,999,0.10590661,931
5400,322,0.100740224,239
5500,999,0.095825867,993
5600,999,0.091151244,980
5700,999,0.086704662,962
5800,999,0.082474994,975
5900,999,0.07845166,963
6000,999,0.074624594,986
6100,999,0.070984222,983
6200,999,0.067521437,986
6300,999,0.064227574,967
6400,155,0.061094395,99
6500,999,0.058114059,925
6600,999,0.055279112,978
6700,999,0.05258246,948
6800,999,0.050017358,992
6900,999,0.047577388,999
7000,999,0.045256445,1003
7100,999,0.043048724,1015
7200,304,0.040948701,248
7300,999,0.038951122,986
7400,999,0.03705099,1007
7500,999,0.035243551,1007
7600,999,0.033524284,988
7700,572,0.031888887,498
7800,999,0.030333268,967
7900,999,0.03,984
8000,999,0.03,992
8100,251,0.03,190
8200,999,0.03,999
8300,999,0.03,1015
8400,999,0.03,978
8500,999,0.03,975
8600,999,0.03,1001
8700,999,0.03,994
8800,999,0.03,992
8900,381,0.03,317
9000,999,0.03,958
9100,999,0.03,990
9200,999,0.03,989
9300,182,0.03,121
9400,999,0.03,1011
9500,999,0.03,980
9600,999,0.03,985
9700,208,0.03,145
9800,999,0.03,1009
9900,999,0.03,977
