num,episode5,epsilon5,sum5
0,326,1,187
100,999,0.95121753,705
200,634,0.90481479,404
300,550,0.86067569,361
400,860,0.818689804,583
500,455,0.778752093,292
600,978,0.740762643,700
700,129,0.704626412,55
800,526,0.670252995,385
900,999,0.637556399,815
1000,921,0.606454823,703
1100,477,0.576870459,367
1200,685,0.548729293,533
1300,986,0.521960923,763
1400,255,0.49649838,180
1500,999,0.472277963,810
1600,999,0.449239077,832
1700,584,0.427324086,458
1800,545,0.406478161,416
1900,510,0.386649153,395
2000,999,0.367787452,830
2100,999,0.349845872,849
2200,999,0.332779526,871
2300,999,0.316545719,869
2400,999,0.301103837,860
2500,243,0.286415248,155
2600,831,0.272443205,687
2700,999,0.259152753,831
2800,179,0.246510641,83
2900,999,0.234485243,894
3000,126,0.223046474,69
3100,321,0.212165716,260
3200,152,0.201815749,58
3300,999,0.191970678,870
3400,999,0.182605874,879
3500,288,0.173697909,190
3600,999,0.165224496,922
3700,999,0.157164437,895
3800,595,0.149497567,477
3900,470,0.142204707,398
4000,999,0.13526761,924
4100,682,0.128668922,576
4200,707,0.122392134,621
4300,451,0.116421543,393
4400,999,0.110742213,959
4500,999,0.105339934,933
4600,999,0.100201192,948
4700,493,0.095313131,410
4800,421,0.090663521,307
4900,807,0.08624073,716
5000,454,0.082033694,385
5100,293,0.078031888,197
5200,999,0.0742253,969
5300,999,0.070604407,939
5400,788,0.067160149,684
5500,132,0.063883911,63
5600,258,0.060767496,199
5700,999,0.057803108,952
5800,109,0.054983329,55
5900,626,0.052301107,549
6000,939,0.04974973,862
6100,999,0.047322815,935
6200,999,0.045014291,944
6300,151,0.042818383,68
6400,999,0.040729596,960
6500,999,0.038742706,948
6600,219,0.036852741,154
6700,250,0.035054973,182
6800,999,0.033344905,972
6900,295,0.031718258,234
7000,484,0.030170963,431
7100,999,0.03,941
7200,940,0.03,829
7300,999,0.03,881
7400,999,0.03,971
7500,999,0.03,929
7600,999,0.03,991
7700,999,0.03,979
7800,999,0.03,966
7900,999,0.03,960
8000,999,0.03,958
8100,999,0.03,980
8200,344,0.03,262
8300,999,0.03,994
8400,999,0.03,977
8500,999,0.03,855
8600,999,0.03,993
8700,279,0.03,193
8800,838,0.03,761
8900,999,0.03,1001
9000,503,0.03,435
9100,999,0.03,937
9200,999,0.03,967
9300,264,0.03,169
9400,999,0.03,882
9500,999,0.03,999
9600,754,0.03,683
9700,183,0.03,86
9800,999,0.03,1006
9900,999,0.03,972
