num,episode1,epsilon1,sum1
0,653,1,411
100,581,0.95121753,351
200,999,0.90481479,695
300,689,0.86067569,441
400,700,0.818689804,505
500,788,0.778752093,522
600,532,0.740762643,363
700,999,0.704626412,734
800,503,0.670252995,357
900,986,0.637556399,744
1000,999,0.606454823,770
1100,999,0.576870459,775
1200,761,0.548729293,565
1300,999,0.521960923,771
1400,720,0.49649838,590
1500,999,0.472277963,820
1600,917,0.449239077,766
1700,999,0.427324086,841
1800,999,0.406478161,846
1900,999,0.386649153,856
2000,999,0.367787452,837
2100,490,0.349845872,404
2200,999,0.332779526,895
2300,999,0.316545719,850
2400,573,0.301103837,453
2500,999,0.286415248,828
2600,999,0.272443205,809
2700,999,0.259152753,903
2800,999,0.246510641,889
2900,999,0.234485243,889
3000,999,0.223046474,927
3100,999,0.212165716,879
3200,999,0.201815749,885
3300,184,0.191970678,110
3400,999,0.182605874,928
3500,999,0.173697909,900
3600,999,0.165224496,897
3700,999,0.157164437,954
3800,999,0.149497567,920
3900,999,0.142204707,960
4000,999,0.13526761,949
4100,138,0.128668922,87
4200,999,0.122392134,923
4300,894,0.116421543,782
4400,999,0.110742213,890
4500,999,0.105339934,891
4600,999,0.100201192,963
4700,999,0.095313131,951
4800,999,0.090663521,978
4900,999,0.08624073,963
5000,999,0.082033694,969
5100,999,0.078031888,996
5200,999,0.0742253,946
5300,999,0.070604407,956
5400,999,0.067160149,951
5500,999,0.063883911,985
5600,999,0.060767496,999
5700,999,0.057803108,1001
5800,999,0.054983329,960
5900,999,0.052301107,920
6000,999,0.04974973,994
6100,999,0.047322815,965
6200,999,0.045014291,1001
6300,999,0.042818383,966
6400,999,0.040729596,955
6500,999,0.038742706,1001
6600,566,0.036852741,513
6700,999,0.035054973,1002
6800,999,0.033344905,1002
6900,999,0.031718258,1004
7000,999,0.030170963,976
7100,999,0.03,967
7200,999,0.03,929
7300,999,0.03,964
7400,999,0.03,939
7500,999,0.03,993
7600,999,0.03,976
7700,999,0.03,991
7800,999,0.03,991
7900,999,0.03,986
8000,999,0.03,957
8100,999,0.03,989
8200,999,0.03,986
8300,999,0.03,1000
8400,999,0.03,979
8500,999,0.03,976
8600,999,0.03,1023
8700,999,0.03,967
8800,999,0.03,1009
8900,999,0.03,996
9000,999,0.03,939
9100,999,0.03,994
9200,999,0.03,952
9300,999,0.03,999
9400,999,0.03,1024
9500,999,0.03,994
9600,999,0.03,999
9700,999,0.03,986
9800,999,0.03,1000
9900,999,0.03,976
