num,episode24,epsilon24,sum24
0,999,1.5,635
100,742,1.426826295,486
200,640,1.357222185,384
300,974,1.291013535,575
400,501,1.228034706,307
500,605,1.16812814,371
600,582,1.111143964,361
700,732,1.056939617,487
800,708,1.005379493,458
900,526,0.956334598,335
1000,707,0.909682234,440
1100,542,0.865305688,354
1200,999,0.82309394,679
1300,851,0.782941384,589
1400,735,0.74474757,537
1500,939,0.708416944,656
1600,279,0.673858616,168
1700,999,0.640986128,746
1800,999,0.609717242,790
1900,999,0.579973729,783
2000,703,0.551681178,573
2100,716,0.524768808,553
2200,999,0.499169289,808
2300,999,0.474818579,818
2400,999,0.451655756,813
2500,761,0.429622872,609
2600,470,0.408664808,347
2700,286,0.388729129,200
2800,356,0.369765962,255
2900,999,0.351727865,832
3000,692,0.334569711,553
3100,309,0.318248574,234
3200,663,0.302723623,530
3300,999,0.287956017,856
3400,941,0.273908811,827
3500,816,0.260546863,698
3600,999,0.247836743,843
3700,928,0.235746655,804
3800,749,0.224246351,649
3900,999,0.21330706,920
4000,999,0.202901415,930
4100,999,0.193003383,897
4200,999,0.183588201,849
4300,768,0.174632315,656
4400,999,0.16611332,969
4500,365,0.158009902,272
4600,661,0.150301788,588
4700,999,0.142969696,974
4800,999,0.135995281,942
4900,999,0.129361095,928
5000,999,0.123050542,950
5100,215,0.117047832,158
5200,999,0.11133795,968
5300,999,0.10590661,957
5400,999,0.100740224,940
5500,999,0.095825867,971
5600,999,0.091151244,981
5700,999,0.086704662,983
5800,846,0.082474994,758
5900,999,0.07845166,937
6000,781,0.074624594,708
6100,999,0.070984222,995
6200,999,0.067521437,1000
6300,999,0.064227574,940
6400,999,0.061094395,952
6500,999,0.058114059,963
6600,702,0.055279112,614
6700,999,0.05258246,983
6800,999,0.050017358,990
6900,309,0.047577388,234
7000,999,0.045256445,1011
7100,999,0.043048724,1006
7200,999,0.040948701,1005
7300,212,0.038951122,155
7400,163,0.03705099,110
7500,999,0.035243551,999
7600,999,0.033524284,1003
7700,424,0.031888887,336
7800,999,0.030333268,949
7900,588,0.03,523
8000,999,0.03,998
8100,999,0.03,998
8200,999,0.03,991
8300,999,0.03,962
8400,999,0.03,954
8500,999,0.03,998
8600,999,0.03,1013
8700,999,0.03,994
8800,999,0.03,990
8900,999,0.03,986
9000,999,0.03,935
9100,999,0.03,985
9200,999,0.03,1006
9300,999,0.03,995
9400,999,0.03,983
9500,562,0.03,490
9600,999,0.03,1008
9700,999,0.03,992
9800,999,0.03,989
9900,999,0.03,1015
