num,episode1,epsilon1,sum1
0,803,1,490
100,833,0.95121753,534
200,916,0.90481479,595
300,999,0.86067569,654
400,432,0.818689804,289
500,752,0.778752093,534
600,999,0.740762643,738
700,318,0.704626412,220
800,999,0.670252995,741
900,999,0.637556399,790
1000,828,0.606454823,631
1100,548,0.576870459,398
1200,999,0.548729293,744
1300,951,0.521960923,745
1400,579,0.49649838,455
1500,198,0.472277963,118
1600,297,0.449239077,215
1700,795,0.427324086,632
1800,999,0.406478161,875
1900,999,0.386649153,848
2000,653,0.367787452,532
2100,838,0.349845872,650
2200,999,0.332779526,862
2300,270,0.316545719,206
2400,999,0.301103837,863
2500,999,0.286415248,896
2600,999,0.272443205,920
2700,999,0.259152753,885
2800,999,0.246510641,877
2900,654,0.234485243,549
3000,999,0.223046474,887
3100,409,0.212165716,316
3200,346,0.201815749,246
3300,968,0.191970678,871
3400,999,0.182605874,891
3500,471,0.173697909,374
3600,999,0.165224496,923
3700,290,0.157164437,209
3800,999,0.149497567,922
3900,999,0.142204707,928
4000,999,0.13526761,948
4100,309,0.128668922,234
4200,999,0.122392134,962
4300,601,0.116421543,507
4400,999,0.110742213,945
4500,210,0.105339934,152
4600,825,0.100201192,754
4700,999,0.095313131,972
4800,439,0.090663521,362
4900,999,0.08624073,952
5000,999,0.082033694,964
5100,999,0.078031888,978
5200,999,0.0742253,962
5300,999,0.070604407,996
5400,230,0.067160149,165
5500,999,0.063883911,956
5600,490,0.060767496,397
5700,171,0.057803108,97
5800,715,0.054983329,651
5900,999,0.052301107,972
6000,999,0.04974973,950
6100,718,0.047322815,633
6200,999,0.045014291,953
6300,597,0.042818383,564
6400,999,0.040729596,986
6500,186,0.038742706,118
6600,999,0.036852741,941
6700,999,0.035054973,984
6800,999,0.033344905,990
6900,999,0.031718258,984
7000,999,0.030170963,995
7100,831,0.03,759
7200,999,0.03,966
7300,999,0.03,995
7400,999,0.03,976
7500,999,0.03,976
7600,999,0.03,967
7700,999,0.03,930
7800,999,0.03,1014
7900,999,0.03,967
8000,999,0.03,975
8100,304,0.03,248
8200,999,0.03,985
8300,999,0.03,997
8400,999,0.03,997
8500,999,0.03,975
8600,999,0.03,962
8700,999,0.03,988
8800,999,0.03,1006
8900,999,0.03,1000
9000,999,0.03,1004
9100,999,0.03,979
9200,999,0.03,996
9300,999,0.03,982
9400,814,0.03,720
9500,999,0.03,948
9600,581,0.03,533
9700,999,0.03,958
9800,999,0.03,1005
9900,999,0.03,1005
