num,episode2,epsilon2,sum2
0,802,1.5,531
100,783,1.426826295,494
200,561,1.357222185,344
300,816,1.291013535,525
400,751,1.228034706,477
500,999,1.16812814,620
600,816,1.111143964,497
700,526,1.056939617,318
800,999,1.005379493,673
900,758,0.956334598,467
1000,597,0.909682234,401
1100,682,0.865305688,433
1200,520,0.82309394,348
1300,594,0.782941384,423
1400,297,0.74474757,196
1500,999,0.708416944,723
1600,610,0.673858616,442
1700,649,0.640986128,484
1800,999,0.609717242,761
1900,999,0.579973729,792
2000,808,0.551681178,614
2100,999,0.524768808,802
2200,368,0.499169289,269
2300,821,0.474818579,658
2400,332,0.451655756,248
2500,999,0.429622872,868
2600,749,0.408664808,581
2700,743,0.388729129,609
2800,316,0.369765962,228
2900,999,0.351727865,874
3000,708,0.334569711,587
3100,607,0.318248574,492
3200,999,0.302723623,862
3300,473,0.287956017,361
3400,699,0.273908811,593
3500,999,0.260546863,863
3600,999,0.247836743,897
3700,942,0.235746655,814
3800,999,0.224246351,897
3900,983,0.21330706,849
4000,999,0.202901415,901
4100,463,0.193003383,361
4200,999,0.183588201,910
4300,999,0.174632315,953
4400,999,0.16611332,894
4500,999,0.158009902,941
4600,950,0.150301788,842
4700,999,0.142969696,925
4800,999,0.135995281,913
4900,453,0.129361095,375
5000,999,0.123050542,942
5100,549,0.117047832,464
5200,579,0.11133795,499
5300,999,0.10590661,950
5400,999,0.100740224,975
5500,999,0.095825867,961
5600,999,0.091151244,921
5700,999,0.086704662,963
5800,999,0.082474994,998
5900,999,0.07845166,952
6000,999,0.074624594,988
6100,999,0.070984222,986
6200,503,0.067521437,411
6300,999,0.064227574,958
6400,999,0.061094395,953
6500,999,0.058114059,978
6600,999,0.055279112,996
6700,999,0.05258246,1005
6800,999,0.050017358,985
6900,999,0.047577388,1002
7000,999,0.045256445,986
7100,365,0.043048724,278
7200,999,0.040948701,991
7300,999,0.038951122,997
7400,999,0.03705099,1024
7500,999,0.035243551,1002
7600,999,0.033524284,1004
7700,361,0.031888887,283
7800,999,0.030333268,1012
7900,999,0.03,1006
8000,999,0.03,999
8100,999,0.03,1001
8200,999,0.03,1000
8300,999,0.03,1007
8400,999,0.03,1014
8500,999,0.03,1004
8600,999,0.03,1005
8700,999,0.03,1010
8800,999,0.03,1014
8900,999,0.03,1009
9000,999,0.03,1000
9100,999,0.03,995
9200,999,0.03,1007
9300,999,0.03,994
9400,999,0.03,1016
9500,999,0.03,997
9600,999,0.03,1001
9700,999,0.03,1003
9800,999,0.03,997
9900,999,0.03,1015
