num,episode18,epsilon18,sum18
0,521,1.5,320
100,999,1.426826295,592
200,841,1.357222185,542
300,716,1.291013535,431
400,901,1.228034706,585
500,999,1.16812814,640
600,696,1.111143964,411
700,999,1.056939617,642
800,476,1.005379493,288
900,999,0.956334598,700
1000,689,0.909682234,444
1100,506,0.865305688,340
1200,999,0.82309394,705
1300,999,0.782941384,713
1400,999,0.74474757,734
1500,964,0.708416944,697
1600,878,0.673858616,666
1700,999,0.640986128,733
1800,999,0.609717242,794
1900,360,0.579973729,246
2000,609,0.551681178,455
2100,494,0.524768808,359
2200,999,0.499169289,779
2300,991,0.474818579,786
2400,999,0.451655756,781
2500,999,0.429622872,801
2600,999,0.408664808,807
2700,999,0.388729129,836
2800,999,0.369765962,862
2900,758,0.351727865,633
3000,999,0.334569711,842
3100,771,0.318248574,643
3200,467,0.302723623,385
3300,648,0.287956017,526
3400,999,0.273908811,822
3500,999,0.260546863,875
3600,999,0.247836743,904
3700,999,0.235746655,891
3800,999,0.224246351,914
3900,999,0.21330706,899
4000,999,0.202901415,914
4100,999,0.193003383,924
4200,999,0.183588201,896
4300,999,0.174632315,869
4400,999,0.16611332,908
4500,999,0.158009902,940
4600,208,0.150301788,146
4700,999,0.142969696,948
4800,726,0.135995281,633
4900,999,0.129361095,932
5000,999,0.123050542,898
5100,186,0.117047832,105
5200,999,0.11133795,957
5300,999,0.10590661,947
5400,999,0.100740224,998
5500,446,0.095825867,376
5600,999,0.091151244,970
5700,999,0.086704662,896
5800,999,0.082474994,949
5900,999,0.07845166,1015
6000,999,0.074624594,973
6100,214,0.070984222,161
6200,999,0.067521437,943
6300,999,0.064227574,950
6400,999,0.061094395,973
6500,999,0.058114059,1001
6600,390,0.055279112,348
6700,999,0.05258246,975
6800,999,0.050017358,989
6900,999,0.047577388,981
7000,999,0.045256445,984
7100,999,0.043048724,957
7200,999,0.040948701,996
7300,999,0.038951122,1015
7400,999,0.03705099,1003
7500,999,0.035243551,969
7600,416,0.033524284,326
7700,180,0.031888887,94
7800,159,0.030333268,101
7900,999,0.03,937
8000,999,0.03,950
8100,999,0.03,988
8200,999,0.03,992
8300,999,0.03,984
8400,356,0.03,301
8500,999,0.03,1008
8600,999,0.03,990
8700,999,0.03,993
8800,999,0.03,1004
8900,999,0.03,1003
9000,764,0.03,721
9100,999,0.03,1011
9200,999,0.03,993
9300,999,0.03,991
9400,999,0.03,990
9500,999,0.03,942
9600,999,0.03,1006
9700,999,0.03,984
9800,999,0.03,988
9900,999,0.03,988
