C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject14/agent.py
2021-05-16 03:10:44.841270: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-16 03:10:44.841661: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
스테이지를 무작위로 생성합니다.
2021-05-16 03:10:49.201486: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-16 03:10:49.206364: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-16 03:10:49.206616: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-16 03:10:49.215923: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-16 03:10:49.216430: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-16 03:10:49.217134: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-16 03:10:49.218035: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 48, epsilon: 1.0, 보상 합:49
에피소드 100 : 117, epsilon: 0.9950123548119847, 보상 합:118
에피소드 200 : 45, epsilon: 0.9900495862284902, 보상 합:46
에피소드 300 : 84, epsilon: 0.9851115701738412, 보상 합:85
에피소드 400 : 82, epsilon: 0.9801981831912049, 보상 합:83
에피소드 500 : 155, epsilon: 0.9753093024395098, 보상 합:156
에피소드 600 : 91, epsilon: 0.9704448056903707, 보상 합:92
에피소드 700 : 51, epsilon: 0.9656045713250346, 보상 합:52
에피소드 800 : 83, epsilon: 0.9607884783313398, 보상 합:84
에피소드 900 : 52, epsilon: 0.9559964063006904, 보상 합:53
에피소드 1000 : 188, epsilon: 0.9512282354250445, 보상 합:189
에피소드 1100 : 42, epsilon: 0.9464838464939228, 보상 합:43
에피소드 1200 : 50, epsilon: 0.9417631208914232, 보상 합:51
에피소드 1300 : 123, epsilon: 0.9370659405932589, 보상 합:124
에피소드 1400 : 46, epsilon: 0.9323921881638054, 보상 합:47
에피소드 1500 : 160, epsilon: 0.9277417467531668, 보상 합:161
에피소드 1600 : 89, epsilon: 0.9231145000942527, 보상 합:90
에피소드 1700 : 120, epsilon: 0.9185103324998704, 보상 합:121
에피소드 1800 : 44, epsilon: 0.9139291288598353, 보상 합:45
에피소드 1900 : 49, epsilon: 0.9093707746380905, 보상 합:50
에피소드 2000 : 86, epsilon: 0.9048351558698455, 보상 합:87
에피소드 2100 : 189, epsilon: 0.9003221591587243, 보상 합:190
에피소드 2200 : 47, epsilon: 0.8958316716739327, 보상 합:48
에피소드 2300 : 146, epsilon: 0.8913635811474366, 보상 합:147
에피소드 2400 : 41, epsilon: 0.8869177758711543, 보상 합:42
에피소드 2500 : 56, epsilon: 0.8824941446941652, 보상 합:57
에피소드 2600 : 52, epsilon: 0.8780925770199298, 보상 합:53
에피소드 2700 : 79, epsilon: 0.8737129628035243, 보상 합:80
에피소드 2800 : 236, epsilon: 0.8693551925488907, 보상 합:237
에피소드 2900 : 91, epsilon: 0.8650191573060978, 보상 합:92
에피소드 3000 : 85, epsilon: 0.8607047486686187, 보상 합:86
에피소드 3100 : 215, epsilon: 0.8564118587706196, 보상 합:216
에피소드 3200 : 50, epsilon: 0.8521403802842631, 보상 합:51
에피소드 3300 : 80, epsilon: 0.8478902064170248, 보상 합:81
에피소드 3400 : 81, epsilon: 0.843661230909024, 보상 합:82
에피소드 3500 : 78, epsilon: 0.8394533480303654, 보상 합:79
에피소드 3600 : 91, epsilon: 0.8352664525784984, 보상 합:92
에피소드 3700 : 122, epsilon: 0.8311004398755846, 보상 합:123
에피소드 3800 : 94, epsilon: 0.826955205765881, 보상 합:95
에피소드 3900 : 79, epsilon: 0.822830646613139, 보상 합:80
에피소드 4000 : 84, epsilon: 0.8187266592980071, 보상 합:85
에피소드 4100 : 44, epsilon: 0.8146431412154591, 보상 합:45
에피소드 4200 : 41, epsilon: 0.810579990272226, 보상 합:42
에피소드 4300 : 122, epsilon: 0.8065371048842433, 보상 합:123
에피소드 4400 : 76, epsilon: 0.8025143839741113, 보상 합:77
에피소드 4500 : 52, epsilon: 0.7985117269685691, 보상 합:53
에피소드 4600 : 54, epsilon: 0.7945290337959804, 보상 합:55
에피소드 4700 : 55, epsilon: 0.7905662048838291, 보상 합:56
에피소드 4800 : 42, epsilon: 0.786623141156233, 보상 합:43
에피소드 4900 : 47, epsilon: 0.7826997440314639, 보상 합:48
에피소드 5000 : 159, epsilon: 0.7787959154194843, 보상 합:160
에피소드 5100 : 238, epsilon: 0.7749115577194965, 보상 합:239
에피소드 5200 : 85, epsilon: 0.7710465738174995, 보상 합:86
에피소드 5300 : 183, epsilon: 0.767200867083863, 보상 합:184
에피소드 5400 : 59, epsilon: 0.763374341370911, 보상 합:60
에피소드 5500 : 125, epsilon: 0.7595669010105176, 보상 합:126
에피소드 5600 : 52, epsilon: 0.7557784508117166, 보상 합:53
에피소드 5700 : 50, epsilon: 0.7520088960583194, 보상 합:51
에피소드 5800 : 46, epsilon: 0.7482581425065495, 보상 합:47
에피소드 5900 : 44, epsilon: 0.7445260963826833, 보상 합:45
에피소드 6000 : 182, epsilon: 0.7408126643807084, 보상 합:183
에피소드 6100 : 90, epsilon: 0.7371177536599894, 보상 합:91
에피소드 6200 : 131, epsilon: 0.7334412718429463, 보상 합:132
에피소드 6300 : 52, epsilon: 0.7297831270127476, 보상 합:53
에피소드 6400 : 50, epsilon: 0.726143227711008, 보상 합:51
에피소드 6500 : 85, epsilon: 0.7225214829355054, 보상 합:86
에피소드 6600 : 230, epsilon: 0.7189178021379041, 보상 합:231
에피소드 6700 : 97, epsilon: 0.7153320952214923, 보상 합:98
에피소드 6800 : 52, epsilon: 0.7117642725389279, 보상 합:53
에피소드 6900 : 84, epsilon: 0.7082142448899977, 보상 합:85
에피소드 7000 : 43, epsilon: 0.7046819235193887, 보상 합:44
에피소드 7100 : 128, epsilon: 0.7011672201144661, 보상 합:129
에피소드 7200 : 191, epsilon: 0.6976700468030675, 보상 합:192
에피소드 7300 : 235, epsilon: 0.6941903161513077, 보상 합:236
에피소드 7400 : 231, epsilon: 0.6907279411613888, 보상 합:232
에피소드 7500 : 125, epsilon: 0.6872828352694271, 보상 합:126
에피소드 7600 : 100, epsilon: 0.6838549123432907, 보상 합:101
에피소드 7700 : 151, epsilon: 0.6804440866804413, 보상 합:152
에피소드 7800 : 100, epsilon: 0.677050273005796, 보상 합:101
에피소드 7900 : 93, epsilon: 0.6736733864695941, 보상 합:94
에피소드 8000 : 70, epsilon: 0.6703133426452752, 보상 합:71
에피소드 8100 : 47, epsilon: 0.6669700575273669, 보상 합:48
에피소드 8200 : 50, epsilon: 0.6636434475293898, 보상 합:51
에피소드 8300 : 91, epsilon: 0.6603334294817619, 보상 합:92
에피소드 8400 : 57, epsilon: 0.6570399206297214, 보상 합:58
에피소드 8500 : 81, epsilon: 0.6537628386312585, 보상 합:82
에피소드 8600 : 53, epsilon: 0.6505021015550557, 보상 합:54
에피소드 8700 : 51, epsilon: 0.6472576278784408, 보상 합:52
에피소드 8800 : 158, epsilon: 0.6440293364853462, 보상 합:159
에피소드 8900 : 121, epsilon: 0.6408171466642842, 보상 합:122
에피소드 9000 : 87, epsilon: 0.6376209781063263, 보상 합:88
에피소드 9100 : 48, epsilon: 0.6344407509030966, 보상 합:49
에피소드 9200 : 58, epsilon: 0.6312763855447736, 보상 합:59
에피소드 9300 : 44, epsilon: 0.6281278029181032, 보상 합:45
에피소드 9400 : 81, epsilon: 0.62499492430442, 보상 합:82
에피소드 9500 : 45, epsilon: 0.621877671377679, 보상 합:46
에피소드 9600 : 91, epsilon: 0.618775966202498, 보상 합:92
에피소드 9700 : 95, epsilon: 0.6156897312322083, 보상 합:96
에피소드 9800 : 93, epsilon: 0.6126188893069178, 보상 합:94
에피소드 9900 : 114, epsilon: 0.6095633636515787, 보상 합:115
에피소드 10000 : 92, epsilon: 0.6065230778740716, 보상 합:93
에피소드 10100 : 75, epsilon: 0.6034979559632925, 보상 합:76
에피소드 10200 : 53, epsilon: 0.6004879222872556, 보상 합:54
에피소드 10300 : 45, epsilon: 0.5974929015911985, 보상 합:46
에피소드 10400 : 49, epsilon: 0.594512818995704, 보상 합:50
에피소드 10500 : 88, epsilon: 0.5915475999948258, 보상 합:89
에피소드 10600 : 80, epsilon: 0.58859717045423, 보상 합:81
에피소드 10700 : 82, epsilon: 0.5856614566093343, 보상 합:83
에피소드 10800 : 44, epsilon: 0.5827403850634706, 보상 합:45
에피소드 10900 : 109, epsilon: 0.5798338827860471, 보상 합:110
에피소드 11000 : 52, epsilon: 0.5769418771107209, 보상 합:53
에피소드 11100 : 48, epsilon: 0.5740642957335859, 보상 합:49
에피소드 11200 : 234, epsilon: 0.5712010667113592, 보상 합:235
에피소드 11300 : 138, epsilon: 0.5683521184595874, 보상 합:139
에피소드 11400 : 46, epsilon: 0.5655173797508543, 보상 합:47
