C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-13 06:13:17.174824: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-13 06:13:17.175086: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-13 06:13:22.761949: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-13 06:13:22.765990: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-13 06:13:22.766251: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-13 06:13:22.776206: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-13 06:13:22.776667: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-13 06:13:22.777298: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-13 06:13:22.778158: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 823, epsilon: 1.5, 보상 합:520
에피소드 100 : 999, epsilon: 1.4268262953635011, 보상 합:666
에피소드 200 : 464, epsilon: 1.3572221847604897, 보상 합:283
에피소드 300 : 953, epsilon: 1.2910135345779783, 보상 합:614
에피소드 400 : 673, epsilon: 1.2280347058706922, 보상 합:420
에피소드 500 : 555, epsilon: 1.1681281399701908, 보상 합:342
에피소드 600 : 665, epsilon: 1.111143964309016, 보상 합:419
에피소드 700 : 694, epsilon: 1.056939617473699, 보상 합:430
에피소드 800 : 834, epsilon: 1.005379492548609, 보상 합:487
에피소드 900 : 565, epsilon: 0.9563345978583789, 보상 합:333
에피소드 1000 : 737, epsilon: 0.9096822342601434, 보상 합:489
에피소드 1100 : 637, epsilon: 0.8653056881782626, 보상 합:421
에피소드 1200 : 999, epsilon: 0.8230939396135708, 보상 합:722
에피소드 1300 : 724, epsilon: 0.7829413843966541, 보상 합:510
에피소드 1400 : 999, epsilon: 0.7447475699902992, 보상 합:738
에피소드 1500 : 999, epsilon: 0.7084169441801518, 보상 합:727
에피소드 1600 : 743, epsilon: 0.6738586160248651, 보상 합:569
에피소드 1700 : 965, epsilon: 0.6409861284676901, 보상 합:746
에피소드 1800 : 542, epsilon: 0.6097172420406319, 보상 합:399
에피소드 1900 : 935, epsilon: 0.5799737291200572, 보상 합:734
에피소드 2000 : 599, epsilon: 0.5516811782190176, 보상 합:466
에피소드 2100 : 999, epsilon: 0.5247688078266746, 보상 합:839
에피소드 2200 : 999, epsilon: 0.4991692893291036, 보상 합:821
에피소드 2300 : 485, epsilon: 0.47481857856845094, 보상 합:369
에피소드 2400 : 999, epsilon: 0.45165575561905763, 보상 합:822
에피소드 2500 : 999, epsilon: 0.4296228723796952, 보상 합:837
에피소드 2600 : 999, epsilon: 0.40866480760063095, 보상 합:847
에피소드 2700 : 999, epsilon: 0.38872912898283096, 보상 합:846
에피소드 2800 : 546, epsilon: 0.3697659620043022, 보상 합:421
에피소드 2900 : 999, epsilon: 0.351727865145413, 보상 합:884
에피소드 3000 : 999, epsilon: 0.33456971120102863, 보상 합:860
에피소드 3100 : 999, epsilon: 0.3182485743825335, 보상 합:861
에피소드 3200 : 999, epsilon: 0.3027236229272975, 보상 합:892
에피소드 3300 : 407, epsilon: 0.2879560169469154, 보상 합:316
에피소드 3400 : 999, epsilon: 0.27390881125866456, 보상 합:898
에피소드 3500 : 999, epsilon: 0.26054686295708057, 보상 합:901
에피소드 3600 : 999, epsilon: 0.24783674349442225, 보상 합:900
에피소드 3700 : 999, epsilon: 0.23574665505006714, 보상 합:905
에피소드 3800 : 999, epsilon: 0.22424635097961643, 보상 합:941
에피소드 3900 : 999, epsilon: 0.2133070601446863, 보상 합:939
에피소드 4000 : 816, epsilon: 0.20290141493408156, 보상 합:700
에피소드 4100 : 999, epsilon: 0.19300338279627216, 보상 합:911
에피소드 4200 : 999, epsilon: 0.18358820111188587, 보상 합:921
에피소드 4300 : 999, epsilon: 0.17463231524328113, 보상 합:944
에피소드 4400 : 999, epsilon: 0.16611331960621462, 보상 합:966
에피소드 4500 : 583, epsilon: 0.1580099016161789, 보상 합:492
에피소드 4600 : 999, epsilon: 0.15030178836917577, 보상 합:943
에피소드 4700 : 999, epsilon: 0.1429696959235333, 보상 합:970
에피소드 4800 : 999, epsilon: 0.135995281055881, 보상 합:932
에피소드 4900 : 999, epsilon: 0.1293610953705872, 보상 합:944
에피소드 5000 : 259, epsilon: 0.123050541647853, 보상 합:169
에피소드 5100 : 999, epsilon: 0.11704783232125221, 보상 합:955
에피소드 5200 : 999, epsilon: 0.1113379499808404, 보상 합:982
에피소드 5300 : 999, epsilon: 0.10590660980301952, 보상 합:969
에피소드 5400 : 999, epsilon: 0.10074022381316684, 보상 합:983
에피소드 5500 : 999, epsilon: 0.09582586689162056, 보상 합:970
에피소드 5600 : 999, epsilon: 0.09115124443797802, 보상 합:975
에피소드 5700 : 999, epsilon: 0.08670466161280879, 보상 합:960
에피소드 5800 : 999, epsilon: 0.08247499407983327, 보상 합:970
에피소드 5900 : 999, epsilon: 0.07845166017537016, 보상 합:998
에피소드 6000 : 505, epsilon: 0.0746245944354265, 보상 합:445
에피소드 6100 : 999, epsilon: 0.07098422241420221, 보상 합:983
에피소드 6200 : 999, epsilon: 0.06752143673100997, 보상 합:988
에피소드 6300 : 999, epsilon: 0.06422757428568535, 보상 합:992
에피소드 6400 : 999, epsilon: 0.061094394585485615, 보상 합:952
에피소드 6500 : 999, epsilon: 0.05811405912925629, 보상 합:1001
에피소드 6600 : 275, epsilon: 0.05527911179728818, 보상 합:222
에피소드 6700 : 999, epsilon: 0.052582460197806366, 보상 합:967
에피소드 6800 : 999, epsilon: 0.05001735792342319, 보상 합:988
에피소드 6900 : 999, epsilon: 0.04757738767316547, 보상 합:978
에피소드 7000 : 999, epsilon: 0.04525644519785055, 보상 합:995
에피소드 7100 : 923, epsilon: 0.04304872402864694, 보상 합:909
에피소드 7200 : 999, epsilon: 0.04094870095061335, 보상 합:980
에피소드 7300 : 999, epsilon: 0.038951122184874364, 보상 합:987
