0 , 41, 1.0, 42
100 , 78, 0.9950123548119847, 79
200 , 188, 0.9900495862284902, 189
300 , 50, 0.9851115701738412, 51
400 , 80, 0.9801981831912049, 81
500 , 44, 0.9753093024395098, 45
600 , 82, 0.9704448056903707, 83
700 , 113, 0.9656045713250346, 114
800 , 48, 0.9607884783313398, 49
900 , 40, 0.9559964063006904, 41
1000 , 47, 0.9512282354250445, 48
1100 , 81, 0.9464838464939228, 82
1200 , 41, 0.9417631208914232, 42
1300 , 122, 0.9370659405932589, 123
1400 , 42, 0.9323921881638054, 43
1500 , 83, 0.9277417467531668, 84
1600 , 100, 0.9231145000942527, 101
1700 , 42, 0.9185103324998704, 43
1800 , 88, 0.9139291288598353, 89
1900 , 87, 0.9093707746380905, 88
2000 , 118, 0.9048351558698455, 119
2100 , 72, 0.9003221591587243, 73
2200 , 117, 0.8958316716739327, 118
2300 , 56, 0.8913635811474366, 57
2400 , 112, 0.8869177758711543, 113
2500 , 68, 0.8824941446941652, 69
2600 , 50, 0.8780925770199298, 51
2700 , 55, 0.8737129628035243, 56
2800 , 89, 0.8693551925488907, 90
2900 , 82, 0.8650191573060978, 83
3000 , 84, 0.8607047486686187, 85
3100 , 93, 0.8564118587706196, 94
3200 , 45, 0.8521403802842631, 46
3300 , 51, 0.8478902064170248, 52
3400 , 96, 0.843661230909024, 97
3500 , 84, 0.8394533480303654, 85
3600 , 50, 0.8352664525784984, 51
3700 , 78, 0.8311004398755846, 79
3800 , 51, 0.826955205765881, 52
3900 , 164, 0.822830646613139, 165
4000 , 96, 0.8187266592980071, 97
4100 , 114, 0.8146431412154591, 115
4200 , 51, 0.810579990272226, 52
4300 , 156, 0.8065371048842433, 157
4400 , 76, 0.8025143839741113, 77
4500 , 41, 0.7985117269685691, 42
4600 , 46, 0.7945290337959804, 47
4700 , 47, 0.7905662048838291, 48
4800 , 197, 0.786623141156233, 198
4900 , 53, 0.7826997440314639, 54
5000 , 80, 0.7787959154194843, 81
5100 , 86, 0.7749115577194965, 87
5200 , 52, 0.7710465738174995, 53
5300 , 45, 0.767200867083863, 46
5400 , 86, 0.763374341370911, 87
5500 , 49, 0.7595669010105176, 50
5600 , 43, 0.7557784508117166, 44
5700 , 87, 0.7520088960583194, 88
5800 , 132, 0.7482581425065495, 133
5900 , 149, 0.7445260963826833, 150
6000 , 53, 0.7408126643807084, 54
6100 , 47, 0.7371177536599894, 48
6200 , 48, 0.7334412718429463, 49
6300 , 122, 0.7297831270127476, 123
6400 , 116, 0.726143227711008, 117
6500 , 88, 0.7225214829355054, 89
6600 , 47, 0.7189178021379041, 48
6700 , 178, 0.7153320952214923, 179
6800 , 50, 0.7117642725389279, 51
6900 , 139, 0.7082142448899977, 140
7000 , 213, 0.7046819235193887, 214
7100 , 48, 0.7011672201144661, 49
7200 , 85, 0.6976700468030675, 86
7300 , 46, 0.6941903161513077, 47
7400 , 46, 0.6907279411613888, 47
7500 , 90, 0.6872828352694271, 91
7600 , 49, 0.6838549123432907, 50
7700 , 85, 0.6804440866804413, 86
7800 , 65, 0.677050273005796, 66
7900 , 84, 0.6736733864695941, 85
8000 , 78, 0.6703133426452752, 79
8100 , 204, 0.6669700575273669, 205
8200 , 173, 0.6636434475293898, 174
8300 , 186, 0.6603334294817619, 187
8400 , 188, 0.6570399206297214, 189
8500 , 63, 0.6537628386312585, 64
8600 , 196, 0.6505021015550557, 197
8700 , 75, 0.6472576278784408, 76
8800 , 88, 0.6440293364853462, 89
8900 , 76, 0.6408171466642842, 77
9000 , 50, 0.6376209781063263, 51
9100 , 102, 0.6344407509030966, 103
9200 , 84, 0.6312763855447736, 85
9300 , 158, 0.6281278029181032, 159
9400 , 55, 0.62499492430442, 56
9500 , 68, 0.621877671377679, 69
9600 , 52, 0.618775966202498, 53
9700 , 89, 0.6156897312322083, 90
9800 , 54, 0.6126188893069178, 55
9900 , 88, 0.6095633636515787, 89
10000 , 43, 0.6065230778740716, 44
10100 , 125, 0.6034979559632925, 126
10200 , 94, 0.6004879222872556, 95
10300 , 100, 0.5974929015911985, 101
10400 , 88, 0.594512818995704, 89
10500 , 59, 0.5915475999948258, 60
10600 , 52, 0.58859717045423, 53
10700 , 103, 0.5856614566093343, 104
10800 , 90, 0.5827403850634706, 91
10900 , 49, 0.5798338827860471, 50
11000 , 90, 0.5769418771107209, 91
11100 , 84, 0.5740642957335859, 85
11200 , 46, 0.5712010667113592, 47
11300 , 285, 0.5683521184595874, 286
11400 , 60, 0.5655173797508543, 61
11500 , 131, 0.5626967797130004, 132
11600 , 53, 0.5598902478273522, 54
11700 , 98, 0.5570977139269595, 99
11800 , 48, 0.5543191081948373, 49
11900 , 82, 0.551554361162224, 83
12000 , 90, 0.5488034037068446, 91
12100 , 256, 0.5460661670511799, 257
12200 , 122, 0.5433425827607494, 123
12300 , 56, 0.5406325827423988, 57
12400 , 96, 0.5379360992426001, 97
12500 , 223, 0.5352530648457532, 224
12600 , 79, 0.532583412472505, 80
12700 , 92, 0.5299270753780697, 93
12800 , 47, 0.5272839871505609, 48
12900 , 46, 0.5246540817093323, 47
13000 , 84, 0.5220372933033217, 85
13100 , 62, 0.5194335565094124, 63
13200 , 81, 0.5168428062307945, 82
13300 , 84, 0.5142649776953369, 85
13400 , 264, 0.5117000064539697, 265
13500 , 57, 0.509147828379072, 58
13600 , 241, 0.5066083796628685, 242
13700 , 49, 0.5040815968158346, 50
13800 , 59, 0.5015674166651087, 60
13900 , 50, 0.49906577635291366, 51
14000 , 138, 0.4965766133349839, 139
